task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Lab 7,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-11-06,5:30 pm,3.0,2.0,2022-11-04,2,0.0,0.0,2
Lab 8,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-11-13,5:30 pm,3.0,3.0,2022-11-13,2,0.0,0.0,2
Lab 9,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-11-20,5:30 pm,3.0,3.0,2022-11-18,2,0.0,0.0,2
Lab 10,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Group,Lab,3.0,2022-11-27,5:30 pm,3.0,2.0,2022-11-25,2,0.0,0.0,2
Midterm,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Individual,Exam,30.0,2022-10-22,5:00 pm,12.0,3.0,2022-10-20,2,60.0,15.0,5
Final Exam,McMaster University,4,Real-Time Systems and Control Applications,MECHTRON 4AA4,4,Individual,Exam,40.0,2022-12-20,7:30 pm,2.0,3.0,2022-12-14,6,30.0,15.0,5
Quiz 1,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Quiz,5.0,2022-09-27,9:00 pm,0.83,2.0,2022-09-26,1,0.0,0.0,5
Quiz 2,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Quiz,5.0,2022-10-25,9:00 pm,0.83,2.0,2022-10-24,1,0.0,0.0,5
Quiz 3,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Quiz,5.0,2022-11-22,9:00 pm,0.83,4.0,2022-11-21,1,0.0,0.0,5
Quiz 4,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Quiz,5.0,2022-12-06,9:00 pm,0.83,5.0,2022-12-05,1,0.0,0.0,5
Midterm,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Exam,35.0,2022-11-04,7:00 pm,20.0,3.0,2022-10-30,5,20.0,5.0,5
Final Exam,McMaster University,4,Operations Modelling & Analysis,COMMERCE 4QA3,3,Individual,Exam,45.0,2022-12-12,4:00 pm,12.0,3.0,2022-12-08,4,67.0,24.0,5
Introductory Flipgrid Video ,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Individual,Presentation,5.0,2022-09-16,11:59 pm,0.5,1.0,2022-09-15,1,0.0,0.0,1
Assignment 1,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,10.0,2022-09-23,11:59 pm,1.0,2.0,2022-09-20,3,50.0,1.0,3
Assignment 2,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,10.0,2022-10-07,11:59 pm,1.5,2.0,2022-10-05,2,40.0,1.0,3
Assignment 3,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,10.0,2022-10-21,11:59 pm,2.0,2.0,2022-10-19,2,30.0,1.0,3
Assignment 4,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,10.0,2022-11-04,11:59 pm,2.0,3.0,2022-11-02,1,70.0,2.0,3
Assignment 5,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,10.0,2022-11-18,11:59 pm,2.0,3.0,2022-11-16,2,60.0,2.5,3
Assignment 6 (Group),McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Presentation,10.0,2022-12-07,10:30 am,3.0,3.0,2022-11-28,9,70.0,4.0,5
Assignment 6 (Individual),McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Individual,Presentation,5.0,2022-12-07,10:30 am,0.33,2.0,2022-12-06,1,0.0,0.0,5
Final Report ,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Group,Report,20.0,2022-12-08,11:59 pm,5.0,3.0,2022-12-06,2,50.0,1.0,5
Final Peer Assessment,McMaster University,4,Innovation Driven Project Development and Management,ENGNMGT 4A03,3,Individual,Report,10.0,2022-12-08,11:59 pm,0.5,1.0,2022-12-07,1,0.0,0.0,4
Project Presentation,McMaster University,5,Capstone,COMPSCI 4ZPR,6,Group,Presentation,15.0,2023-11-17,11:30am,20.0,5.0,2023-11-13,4,10.0,4.0,5
